,AGE_REF,TOTEXPPQ,ALCBEVPQ,READPQ,APPARPQ,ENTERTPQ
3801902,36,3703.8333,70,20,262,485
3802882,67,14092.3333,400,26,750,1424
3802922,87,2344.6667,30,15,25,85
3803622,36,206624.1956,800,500,11909,2442
3803712,52,26231.5289,187,40,843,1002
3804432,62,3733.1123,65,20,100,150
3804822,41,7215.8333,150,22,84,949
3804982,50,5909,50,10,5,602
3805072,39,7617.5,105,60,637,55
3805082,63,6908.4167,40,50,213,1043
3805132,48,20523.3622,100,130,684,892
3805372,23,5636.1667,150,60,100,33
3805402,68,7148.3333,10,150,25,390
3805552,31,5691.6666,90,8,457,203
3805622,50,15945.4456,20,175,3016.3333,2074
3805822,61,3985.8333,25,15,219.6667,104
3805952,38,3044.6667,161,40,119.3333,337
3806712,43,5655.65,40,9,145,353
3806824,30,4906.9666,89,15,150,255
3806862,60,4510.5833,70,16,47,92
3807002,33,6013.1667,32,100,351,950
3807362,35,7315.5,275,10,79,269
3818631,25,11036.2001,90,24,293,1514
3819261,29,12252.1001,216,5,70,52
3819301,57,13746,90,45,60,551
3819421,59,18775.0002,600,2,700,225
3819491,42,77628.0869,4545,465,2539,8236
3819551,80,17158.05,571,550,768,622
3819581,26,25300,715,135,774,2565
3819621,64,13698.5,90,86,30,1104
3819951,60,73088.2499,340,150,3708,3137
3820091,87,4784,55,100,26,102
3820191,52,17927.3502,1130,180,506,1979
3820381,61,42644.5,150,111,1762,2432
3820521,66,6625,60,121,42,1195
3820651,72,22186.0001,240,190,535,1063
3820661,24,28270,900,39,3510,1175
3820831,51,35363.9,120,99,186,2147
3820861,49,26607.2499,375,100,3331,1913
3821071,68,20555,1125,90,355,3095
3821201,37,18111.4999,48,318,403,1244
3821331,28,7160.2,60,25,140,396
3821411,62,17401.5001,115,59,259,1150
3821841,87,16838.05,90,106,3,1334
3821871,55,56124.5969,265,135,645,1156
3822021,61,95604.8469,1800,75,3281,4406
3822131,66,5847.85,180,80,24,302
3822191,78,5155,30,36,295,320
3822711,87,15053,30,60,30,240
3822731,55,22880.8866,770,18,264,1013
3822761,31,16008,210,48,6,1308
3822841,44,10969.7499,60,25,447,215
3822881,26,48826.2502,300,15,198,742
3823001,54,8960.7501,360,35,213,541
3823081,73,29813.4,399,135,1600,3203
3823211,33,27641.8368,618,310,850,1066
3823261,39,24737.2501,960,30,280,1787
3823611,62,19757.7499,90,444,147,957
3823811,62,8198.5,300,30,230,320
3823851,75,13266,90,566,461,633
3823891,67,12588,15,195,85,360
3824571,27,21801.7501,227,30,135,1353
3824741,69,12873,165,54,293,953
3824891,49,44603.3368,240,26,1920,720
3825051,54,6980,228,5,160,43
3825061,78,7017,90,7,93,485
3825071,49,55295.587,280,139,630,679
